id_transaksi,id_user,timestamp,tipe_mutasi,deskripsi_mutasi,catatan_mutasi,mcc,nominal,sisa_saldo,kategori_besar_sistem,kategori_detail_sistem,label_anomali,gt_kategori_besar,gt_kategori_detail
TRX-10730,USR-011,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2370000.0,2370000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10142,USR-012,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3450000.0,3450000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10994,USR-013,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2470000.0,2470000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11315,USR-014,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2380000.0,2380000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11162,USR-015,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1610000.0,1610000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10298,USR-016,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1810000.0,1810000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10460,USR-017,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2250000.0,2250000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10415,USR-018,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2420000.0,2420000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10172,USR-019,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,1670000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10307,USR-020,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3470000.0,3470000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11477,USR-021,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2090000.0,2090000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11399,USR-022,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2660000.0,2660000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10148,USR-023,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1910000.0,1910000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10439,USR-024,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3210000.0,3210000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10412,USR-025,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3240000.0,3240000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10340,USR-026,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3120000.0,3120000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10499,USR-027,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2120000.0,2120000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11111,USR-028,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2190000.0,2190000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11000,USR-029,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2060000.0,2060000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10490,USR-030,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3460000.0,3460000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10052,USR-031,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1580000.0,1580000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10391,USR-032,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1660000.0,1660000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11096,USR-033,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2950000.0,2950000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10133,USR-034,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3170000.0,3170000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11282,USR-035,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3140000.0,3140000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10997,USR-036,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1850000.0,1850000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10667,USR-037,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2870000.0,2870000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10511,USR-038,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2590000.0,2590000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10742,USR-039,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2060000.0,2060000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10196,USR-040,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1730000.0,1730000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11168,USR-041,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1890000.0,1890000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11036,USR-042,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3240000.0,3240000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10358,USR-043,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2480000.0,2480000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11234,USR-044,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2690000.0,2690000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10967,USR-045,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2910000.0,2910000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10457,USR-046,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1790000.0,1790000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10202,USR-047,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3420000.0,3420000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11093,USR-048,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2370000.0,2370000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11387,USR-049,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1900000.0,1900000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11270,USR-050,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3340000.0,3340000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11360,USR-051,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2780000.0,2780000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11021,USR-052,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1770000.0,1770000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11303,USR-053,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3130000.0,3130000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11255,USR-054,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1890000.0,1890000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11354,USR-055,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2880000.0,2880000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10166,USR-056,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3030000.0,3030000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10316,USR-057,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1780000.0,1780000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10406,USR-058,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2280000.0,2280000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11384,USR-059,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2950000.0,2950000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10688,USR-060,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2740000.0,2740000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10478,USR-061,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2860000.0,2860000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11090,USR-062,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2710000.0,2710000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11135,USR-063,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2850000.0,2850000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10118,USR-064,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2040000.0,2040000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11156,USR-065,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3260000.0,3260000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10973,USR-066,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2520000.0,2520000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10421,USR-067,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2620000.0,2620000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10562,USR-068,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2130000.0,2130000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10025,USR-069,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1550000.0,1550000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10232,USR-070,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3000000.0,3000000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10112,USR-071,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3310000.0,3310000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11483,USR-072,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,1670000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10151,USR-073,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1680000.0,1680000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10004,USR-074,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3210000.0,3210000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10622,USR-075,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1830000.0,1830000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10292,USR-076,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2960000.0,2960000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10073,USR-077,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3500000.0,3500000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10136,USR-078,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1980000.0,1980000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10178,USR-079,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2600000.0,2600000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10193,USR-080,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2690000.0,2690000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11276,USR-081,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3170000.0,3170000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10739,USR-082,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2530000.0,2530000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10244,USR-083,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1770000.0,1770000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10604,USR-084,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2870000.0,2870000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10040,USR-085,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1960000.0,1960000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10979,USR-086,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1690000.0,1690000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10289,USR-087,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2900000.0,2900000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11456,USR-088,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2880000.0,2880000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11321,USR-089,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3420000.0,3420000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10694,USR-090,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2740000.0,2740000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10256,USR-091,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2520000.0,2520000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11294,USR-092,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1500000.0,1500000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10592,USR-093,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3500000.0,3500000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10124,USR-094,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3280000.0,3280000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10430,USR-095,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2920000.0,2920000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11018,USR-096,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1890000.0,1890000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10790,USR-097,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1640000.0,1640000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10802,USR-098,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1650000.0,1650000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11081,USR-099,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1620000.0,1620000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11450,USR-100,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2850000.0,2850000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11066,USR-101,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2800000.0,2800000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10085,USR-102,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,1670000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11498,USR-103,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2100000.0,2100000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10736,USR-104,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2950000.0,2950000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10013,USR-105,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1600000.0,1600000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11252,USR-106,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3180000.0,3180000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11486,USR-107,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2300000.0,2300000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10952,USR-108,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3330000.0,3330000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10508,USR-109,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2510000.0,2510000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10583,USR-110,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2260000.0,2260000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10481,USR-111,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3420000.0,3420000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10691,USR-112,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3090000.0,3090000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10883,USR-113,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1680000.0,1680000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10394,USR-114,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2170000.0,2170000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10523,USR-115,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,1670000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10925,USR-116,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1900000.0,1900000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10454,USR-117,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3300000.0,3300000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10355,USR-118,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3170000.0,3170000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10520,USR-119,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2910000.0,2910000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10634,USR-120,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1760000.0,1760000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10928,USR-121,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1770000.0,1770000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11471,USR-122,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2190000.0,2190000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10808,USR-123,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3330000.0,3330000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10784,USR-124,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3120000.0,3120000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10022,USR-125,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2140000.0,2140000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10838,USR-126,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2580000.0,2580000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10385,USR-127,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2350000.0,2350000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10943,USR-128,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2170000.0,2170000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11141,USR-129,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2910000.0,2910000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10853,USR-130,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1520000.0,1520000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11441,USR-131,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3260000.0,3260000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10157,USR-132,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2440000.0,2440000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10328,USR-133,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2600000.0,2600000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10961,USR-134,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2430000.0,2430000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11339,USR-135,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2030000.0,2030000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11138,USR-136,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1760000.0,1760000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10913,USR-137,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2540000.0,2540000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10331,USR-138,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2100000.0,2100000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11132,USR-139,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1950000.0,1950000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10673,USR-140,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3380000.0,3380000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10403,USR-141,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2550000.0,2550000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10556,USR-142,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2130000.0,2130000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11006,USR-143,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3290000.0,3290000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10793,USR-144,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1590000.0,1590000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10535,USR-145,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2670000.0,2670000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10589,USR-146,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2080000.0,2080000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10769,USR-147,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1990000.0,1990000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10775,USR-148,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,1670000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10169,USR-149,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2800000.0,2800000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11438,USR-150,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2870000.0,2870000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10715,USR-151,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1790000.0,1790000.0,Pemasukan,Pendapatan Bulanan,0,,
