id_transaksi,id_user,timestamp,tipe_mutasi,deskripsi_mutasi,catatan_mutasi,mcc,nominal,sisa_saldo,kategori_besar,kategori_detail,label_anomali,gt_kategori_besar,gt_kategori_detail
TRX-14496,USR-227,2026-01-01 01:18:00,Debit,WARUNG NASI CAMPUR,-,5812,19980.75,9817080.73,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-14212,USR-045,2026-01-01 01:25:00,Debit,JAJANAN GEROBAK,-,5814,7724.61,5932552.32,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-11773,USR-174,2026-01-01 01:28:00,Debit,MIE AYAM ABANG,-,5814,20437.28,5412971.14,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-13621,USR-470,2026-01-01 01:34:00,Debit,ES TEH KAMPUS,-,5814,4162.07,24845424.89,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-11938,USR-183,2026-01-01 01:38:00,Debit,BAKSO LAPANGAN TEMBAK,-,5812,27075.8,4213111.88,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-14078,USR-233,2026-01-01 01:43:00,Debit,MCDONALD'S,-,5814,53370.01,6667243.07,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-14217,USR-045,2026-01-01 01:56:00,Debit,BREADTALK,-,5814,44116.1,5764312.3,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-15049,USR-442,2026-01-01 02:05:00,Debit,INDOMIE REBUS WARUNG,-,5814,3059.42,22466386.13,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-15488,USR-414,2026-01-01 02:15:00,Debit,MIE GACOAN,-,5814,37287.06,25003119.97,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-14050,USR-312,2026-01-01 02:21:00,Debit,HOKBEN,-,5812,59189.24,6143248.72,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-13568,USR-104,2026-01-01 02:26:00,Debit,BOBA/MINUMAN KEKINIAN,-,5814,17335.82,4263837.7,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-12179,USR-083,2026-01-01 02:28:00,Debit,INDOMIE REBUS WARUNG,-,5814,11525.72,3365901.41,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-15429,USR-253,2026-01-01 02:29:00,Debit,TEH TARIK PINGGIR JALAN,-,5814,20461.37,6154063.87,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-11763,USR-441,2026-01-01 02:29:00,Debit,WARUNG NASI CAMPUR,-,5812,16921.45,12598109.17,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-12173,USR-155,2026-01-01 02:33:00,Debit,MIE AYAM ABANG,-,5814,22607.02,4849817.18,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-12451,USR-026,2026-01-01 02:34:00,Debit,GOFOOD/GRABFOOD ORDER,-,5814,52176.07,5455653.52,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-14254,USR-187,2026-01-01 03:18:00,Debit,SHOPEEFOOD ORDER,-,5814,30297.57,5961668.78,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-12019,USR-484,2026-01-01 03:18:00,Debit,MIE GACOAN,-,5814,12604.26,19603408.24,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-14897,USR-351,2026-01-01 03:46:00,Debit,J.CO DONUTS,-,5814,65263.37,11485736.63,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-15584,USR-100,2026-01-01 03:52:00,Debit,JANJI JIWA,-,5814,35608.25,4729311.68,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-14781,USR-469,2026-01-01 04:17:00,Debit,WARTEG,-,5812,25745.61,20936792.96,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-15013,USR-390,2026-01-01 04:23:00,Debit,MIE AYAM ABANG,-,5814,26233.99,7598779.1,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-14395,USR-179,2026-01-01 04:24:00,Debit,INDOMIE REBUS WARUNG,-,5814,7263.5,2791381.43,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-13905,USR-421,2026-01-01 04:24:00,Debit,WARUNG NASI CAMPUR,-,5812,13562.62,16614437.38,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-11878,USR-078,2026-01-01 04:27:00,Debit,JAJANAN GEROBAK,-,5814,12172.81,2129898.69,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-14731,USR-065,2026-01-01 04:43:00,Debit,BAKSO LAPANGAN TEMBAK,-,5812,46226.21,4557876.59,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-13028,USR-068,2026-01-01 04:47:00,Debit,MIXUE INDONESIA,-,5814,6703.08,3522805.52,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-14186,USR-134,2026-01-01 04:56:00,Debit,MCDONALD'S,-,5814,49069.03,4095916.27,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-11937,USR-183,2026-01-01 04:57:00,Debit,GORENGAN PINGGIR JALAN,-,5814,6812.32,4240187.68,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-10139,USR-001,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3130000.0,6630000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11261,USR-002,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2200000.0,3144000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10103,USR-003,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3380000.0,4508000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10469,USR-004,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2890000.0,4926000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11057,USR-005,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1580000.0,3311000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10451,USR-006,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2090000.0,4474000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10700,USR-007,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2930000.0,6395000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10502,USR-008,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3290000.0,5420000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11147,USR-009,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2640000.0,3619000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10031,USR-010,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1510000.0,2199000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10730,USR-011,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2370000.0,3754000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10142,USR-012,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3450000.0,6260000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10994,USR-013,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2470000.0,5404000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11315,USR-014,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2380000.0,5027000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11162,USR-015,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1610000.0,2983000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10298,USR-016,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1810000.0,2383000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10460,USR-017,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2250000.0,3177000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10415,USR-018,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2420000.0,4106000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10172,USR-019,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,3142000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10307,USR-020,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3470000.0,5578000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11477,USR-021,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2090000.0,2980000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11399,USR-022,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2660000.0,3580000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10148,USR-023,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1910000.0,3523000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10439,USR-024,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3210000.0,6695000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10412,USR-025,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3240000.0,5875000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10340,USR-026,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3120000.0,5915000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10499,USR-027,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2120000.0,3470000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11111,USR-028,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2190000.0,3101000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11000,USR-029,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2060000.0,3993000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10490,USR-030,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3460000.0,7395000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10052,USR-031,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1580000.0,2856000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10391,USR-032,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1660000.0,2508000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11096,USR-033,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2950000.0,4176000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10133,USR-034,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3170000.0,6229000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11282,USR-035,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3140000.0,5537000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10997,USR-036,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1850000.0,3517000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10667,USR-037,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2870000.0,4354000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10511,USR-038,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2590000.0,4110000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10742,USR-039,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2060000.0,3556000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10196,USR-040,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1730000.0,2852000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11168,USR-041,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1890000.0,3547000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11036,USR-042,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3240000.0,4902000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10358,USR-043,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2480000.0,4770000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11234,USR-044,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2690000.0,4090000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10967,USR-045,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2910000.0,6398000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10457,USR-046,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1790000.0,3158000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10202,USR-047,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3420000.0,6536000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11093,USR-048,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2370000.0,4185000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11387,USR-049,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1900000.0,2922000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11270,USR-050,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3340000.0,7312000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11360,USR-051,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2780000.0,3736000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11021,USR-052,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1770000.0,2578000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11303,USR-053,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3130000.0,6732000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11255,USR-054,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1890000.0,3247000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11354,USR-055,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2880000.0,4368000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10166,USR-056,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3030000.0,6618000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10316,USR-057,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1780000.0,3916000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10406,USR-058,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2280000.0,3362000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11384,USR-059,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2950000.0,4191000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10688,USR-060,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2740000.0,4397000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10478,USR-061,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2860000.0,3954000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11090,USR-062,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2710000.0,4659000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11135,USR-063,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2850000.0,4283000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10118,USR-064,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2040000.0,2818000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11156,USR-065,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3260000.0,5043000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10973,USR-066,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2520000.0,3584000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10421,USR-067,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2620000.0,5241000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10562,USR-068,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2130000.0,3936000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10025,USR-069,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1550000.0,2158000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10232,USR-070,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3000000.0,5527000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10112,USR-071,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3310000.0,6223000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11483,USR-072,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,2650000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10151,USR-073,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1680000.0,2942000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10004,USR-074,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3210000.0,5706000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10622,USR-075,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1830000.0,3480000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10292,USR-076,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2960000.0,5634000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10073,USR-077,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3500000.0,7609000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10136,USR-078,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1980000.0,2647000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11872,USR-078,2026-01-01 07:00:00,Debit,MIE GACOAN,-,5814,25175.2,2277339.13,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-10178,USR-079,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2600000.0,5036000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10193,USR-080,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2690000.0,5719000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11276,USR-081,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3170000.0,5259000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10739,USR-082,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2530000.0,5146000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10244,USR-083,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1770000.0,3761000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10604,USR-084,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2870000.0,5587000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10040,USR-085,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1960000.0,2681000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10979,USR-086,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1690000.0,2460000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10289,USR-087,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2900000.0,4014000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11456,USR-088,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2880000.0,3848000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11321,USR-089,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3420000.0,7320000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10694,USR-090,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2740000.0,5610000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10256,USR-091,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2520000.0,3568000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-12207,USR-091,2026-01-01 07:00:00,Debit,ES TEH KAMPUS,-,5814,8661.42,3103207.11,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-11294,USR-092,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1500000.0,2557000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10592,USR-093,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3500000.0,6124000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10124,USR-094,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3280000.0,5399000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10430,USR-095,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2920000.0,4222000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11018,USR-096,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1890000.0,3648000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10790,USR-097,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1640000.0,2674000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10802,USR-098,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1650000.0,2775000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11081,USR-099,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1620000.0,2289000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11450,USR-100,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2850000.0,5250000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11066,USR-101,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2800000.0,5447000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10085,USR-102,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1670000.0,3120000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11498,USR-103,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2100000.0,3689000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10736,USR-104,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2950000.0,4892000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10013,USR-105,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1600000.0,2586000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11252,USR-106,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3180000.0,5324000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11486,USR-107,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2300000.0,3803000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10952,USR-108,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3330000.0,6652000.0,Pemasukan,Pendapatan Bulanan,0,,
